YOL117W, 14,34
YGL130W, 11
YPL228W, 01,11
YBR052C, 20
YLL028W, 20,32
YNL085W, 01,10,38
YHR156C, 16
YOL143C, 01
YDR113C, 10,14,16,20
YIL156W, 14
YJL148W, 11,16,42
YOL041C, 16
YMR309C, 12
YGL207W, 10,11
YGR116W, 10,11
YGR040W, 01,14,30,34,43
YML048W, 01,20,42
YNL110C, 10,12
YFR001W, 11,12,16,20
YPL220W, 12
YER177W, 02,10,16,30,40,43
YPR030W, 11,42
YAR018C, 01,10,14,40,42,43
YML111W, 14
YGR274C, 01,10,11,14
YMR236W, 10,11,14,42
YER131W, 12
YDL192W, 14,20
YLR332W, 10,30,34,40,41,42
YMR307W, 01,42
YHL003C, 01,14,40
YJR010C-A, 14
YPL218W, 20
YBR055C, 11
YCR053W, 01,20
YOR261C, 14
YAL028W, 30,32
YAL047C, 10,42
YMR043W, 01,10,11,16,32,34,43
YDR100W, 20
YJL178C, 18,20,30,42
YPR144C, 11,12,16
YNL301C, 12
YOR096W, 12
YBR194W, 11
YGR118W, 12
YDR523C, 01,10,14,43
YOR094W, 14,20
YPL101W, 11
YER036C, 01,16,20
YKL180W, 12
YDR060W, 12,42
YOR206W, 12,20,42
YKL021C, 12,40
YLR449W, 14
YGL076C, 12
YNL178W, 12,32
YJL128C, 01,14,16,18,30,32,34,42
YMR319C, 20,34
YNL125C, 20
YNL130C, 01
YBR247C, 11,14,16,40
YIL069C, 12
YJL095W, 01,10,14,30,32,34,40,43
YKL161C, 01,10,14,32,34,40,43
YER074W, 12
YMR116C, 02,12
YNL225C, 10,42,43
YGL212W, 20,42
YGR130C, 10
YIL074C, 01,16
YBR106W, 01,20
YML075C, 01,16
YLR183C, 11
YDL072C, 16
YDR062W, 01
YJR077C, 20,34
YIL109C, 14,16,20
YNL107W, 10,11
YOR018W, 32
YDL148C, 11,12,16
YDR449C, 11,16
YPR072W, 01,11
YML123C, 20,34
YER144C, 14
YCR012W, 01,02,16
YBR279W, 11
YLR418C, 11
YKL113C, 10,32,40
YOR144C, 10,32,38,42
YDR482C, 11
YPL178W, 10,11
YKL203C, 01,10,12,16,30,40,42
YOR326W, 02,20,42,43
YDR530C, 01
YKR081C, 11,12,16
YOR294W, 11,12
YPL237W, 12
YMR125W, 11,16
YDL160C, 01,11,16
YHR165C, 10,11
YGL030W, 11,12
YBR215W, 10,11
YPR091C, 14
YDR324C, 11,16
YEL055C, 10,11,16
YBR088C, 10,18
YER117W, 12
YBR171W, 14,20
YOR324C, 30,32
YJR048W, 02,20
YKL195W, 14,20
YML098W, 10,11
YLR274W, 10,16
YHR121W, 16
YPR120C, 10,18
YDR393W, 42
YGR012W, 01
YCR020W-B, 10
YHR056C, 11,16
YBL026W, 11
YDR473C, 11,14
YJR032W, 11,14,16,32,40
YNL330C, 01,10,11,14,34,40,43
YKL095W, 11
YPL151C, 11
YPL106C, 14,16,32,34,40
YPR171W, 14,40,42,43
YDR013W, 10,16
YJL072C, 10,16
YJR066W, 01,10,12,16,30
YOL100W, 01,14,30,42
YJL190C, 12
YCR034W, 01,20,34,40,43
YMR149W, 01,14
YKL196C, 14,20
YLR078C, 20
YLR410W, 14,42
